epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,625.932,1.27831,1.33867,1.23189,0.9107,0.8419,0.9132,0.51083,1.49792,1.01606,1.35511,0.000666163,0.000666163,0.000666163
2,1247.55,1.25311,0.79214,1.23518,0.94559,0.89728,0.94422,0.60393,1.32317,0.69628,1.25742,0.000892996,0.000892996,0.000892996
3,1915.23,1.18633,0.68706,1.19377,0.96293,0.92214,0.96641,0.63679,1.23073,0.58445,1.20865,0.000679829,0.000679829,0.000679829
